1970-01-07 20:35:00 +0000 UTC,592500,3
1970-01-22 12:55:00 +0000 UTC,1860900,6
1970-02-06 07:14:00 +0000 UTC,3136440,3
1970-02-21 08:19:00 +0000 UTC,4436340,6
1970-03-07 17:44:00 +0000 UTC,5679840,3
1970-03-23 01:54:00 +0000 UTC,7005240,9
1970-04-06 04:11:00 +0000 UTC,8223060,3
1970-04-21 16:23:00 +0000 UTC,9562980,3
1970-05-05 14:53:00 +0000 UTC,10767180,3
1970-05-21 03:39:00 +0000 UTC,12109140,9
1970-06-04 02:23:00 +0000 UTC,13314180,3
1970-06-19 12:29:00 +0000 UTC,14646540,3
1970-07-03 15:19:00 +0000 UTC,15866340,6
1970-07-18 20:00:00 +0000 UTC,17179200,9
1970-08-02 05:59:00 +0000 UTC,18424740,3
1970-08-17 03:16:00 +0000 UTC,19710960,6
1970-08-31 22:01:00 +0000 UTC,20988060,6
1970-09-15 11:09:00 +0000 UTC,22244940,9
1970-09-30 14:31:00 +0000 UTC,23553060,6
1970-10-14 20:21:00 +0000 UTC,24783660,9
1970-10-30 06:27:00 +0000 UTC,26116020,9
1970-11-13 07:27:00 +0000 UTC,27329220,9
1970-11-28 21:13:00 +0000 UTC,28674780,6
1970-12-12 21:02:00 +0000 UTC,29883720,3
1970-12-28 10:42:00 +0000 UTC,31228920,9
1971-01-11 13:19:00 +0000 UTC,32447940,6
1971-01-26 22:54:00 +0000 UTC,33778440,9
1971-02-10 07:40:00 +0000 UTC,35019600,6
1971-02-25 09:48:00 +0000 UTC,36323280,9
1971-03-12 02:33:00 +0000 UTC,37593180,9
1971-03-26 19:24:00 +0000 UTC,38863440,9
1971-04-10 20:10:00 +0000 UTC,40162200,6
1971-04-25 04:02:00 +0000 UTC,41400120,3
1971-05-10 11:24:00 +0000 UTC,42722640,9
1971-05-24 12:32:00 +0000 UTC,43936320,3
1971-06-09 00:04:00 +0000 UTC,45273840,6
1971-06-22 21:58:00 +0000 UTC,46475880,6
1971-07-08 10:38:00 +0000 UTC,47817480,3
1971-07-22 09:15:00 +0000 UTC,49022100,9
1971-08-06 19:44:00 +0000 UTC,50355840,3
1971-08-20 22:54:00 +0000 UTC,51576840,9
1971-09-05 04:03:00 +0000 UTC,52891380,9
1971-09-19 14:43:00 +0000 UTC,54139380,6
1971-10-04 12:20:00 +0000 UTC,55426800,3
1971-10-19 07:59:00 +0000 UTC,56707140,3
1971-11-02 21:20:00 +0000 UTC,57964800,3
1971-11-18 01:46:00 +0000 UTC,59276760,6
1971-12-02 07:48:00 +0000 UTC,60508080,9
1971-12-17 19:02:00 +0000 UTC,61844520,3
1971-12-31 20:19:00 +0000 UTC,63058740,6
1972-01-16 10:52:00 +0000 UTC,64407120,6
1972-01-30 10:57:00 +0000 UTC,65617020,9
1972-02-15 00:28:00 +0000 UTC,66961680,6
1972-02-29 03:11:00 +0000 UTC,68181060,3
1972-03-15 11:35:00 +0000 UTC,69507300,3
1972-03-29 20:04:00 +0000 UTC,70747440,6
1972-04-13 20:31:00 +0000 UTC,72045060,6
1972-04-28 12:44:00 +0000 UTC,73313040,3
1972-05-13 04:08:00 +0000 UTC,74578080,3
1972-05-28 04:27:00 +0000 UTC,75875220,9
1972-06-11 11:30:00 +0000 UTC,77110200,9
1972-06-26 18:46:00 +0000 UTC,78432360,6
1972-07-10 19:39:00 +0000 UTC,79645140,9
1972-07-26 07:24:00 +0000 UTC,80983440,9
1972-08-09 05:26:00 +0000 UTC,82185960,3
1972-08-24 18:23:00 +0000 UTC,83528580,3
1972-09-07 17:28:00 +0000 UTC,84734880,6
1972-09-23 04:08:00 +0000 UTC,86069280,3
1972-10-07 08:08:00 +0000 UTC,87293280,3
1972-10-22 13:26:00 +0000 UTC,88608360,3
1972-11-06 01:21:00 +0000 UTC,89860860,9
1972-11-20 23:07:00 +0000 UTC,91148820,6
1972-12-05 20:24:00 +0000 UTC,92435040,9
1972-12-20 09:45:00 +0000 UTC,93692700,9
1973-01-04 15:42:00 +0000 UTC,95010120,9
1973-01-18 21:28:00 +0000 UTC,96240480,6
1973-02-03 09:23:00 +0000 UTC,97579380,3
1973-02-17 10:06:00 +0000 UTC,98791560,9
1973-03-05 00:08:00 +0000 UTC,100138080,3
1973-03-18 23:32:00 +0000 UTC,101345520,3
1973-04-03 11:45:00 +0000 UTC,102685500,9
1973-04-17 13:49:00 +0000 UTC,103902540,6
1973-05-02 20:55:00 +0000 UTC,105224100,6
1973-05-17 04:57:00 +0000 UTC,106462620,9
1973-06-01 04:35:00 +0000 UTC,107757300,3
1973-06-15 20:34:00 +0000 UTC,109024440,6
1973-06-30 11:39:00 +0000 UTC,110288340,9
1973-07-15 11:56:00 +0000 UTC,111585360,3
1973-07-29 18:59:00 +0000 UTC,112820340,3
1973-08-14 02:17:00 +0000 UTC,114142620,3
1973-08-28 03:25:00 +0000 UTC,115356300,6
1973-09-12 15:17:00 +0000 UTC,116695020,3
1973-09-26 13:53:00 +0000 UTC,117899580,3
1973-10-12 03:10:00 +0000 UTC,119243400,6
1973-10-26 03:16:00 +0000 UTC,120453360,6
1973-11-10 14:28:00 +0000 UTC,121789680,6
1973-11-24 19:55:00 +0000 UTC,123018900,6
1973-12-10 01:36:00 +0000 UTC,124335360,9
1973-12-24 15:08:00 +0000 UTC,125593680,3
1974-01-08 12:37:00 +0000 UTC,126880620,6
1974-01-23 11:02:00 +0000 UTC,128170920,3
1974-02-06 23:24:00 +0000 UTC,129425040,9
1974-02-22 05:35:00 +0000 UTC,130743300,3
1974-03-08 10:02:00 +0000 UTC,131968920,3
1974-03-23 21:25:00 +0000 UTC,133305900,6
1974-04-06 21:00:00 +0000 UTC,134514000,9
1974-04-22 10:17:00 +0000 UTC,135857820,3
1974-05-06 08:54:00 +0000 UTC,137062440,9
1974-05-21 20:34:00 +0000 UTC,138400440,6
1974-06-04 22:09:00 +0000 UTC,139615740,9
1974-06-20 04:55:00 +0000 UTC,140936100,6
1974-07-04 12:40:00 +0000 UTC,142173600,6
1974-07-19 12:06:00 +0000 UTC,143467560,9
1974-08-03 03:57:00 +0000 UTC,144734220,9
1974-08-17 19:01:00 +0000 UTC,145998060,6
1974-09-01 19:25:00 +0000 UTC,147295500,6
1974-09-16 02:44:00 +0000 UTC,148531440,3
1974-10-01 10:38:00 +0000 UTC,149855880,3
1974-10-15 12:24:00 +0000 UTC,151071840,9
1974-10-31 01:20:00 +0000 UTC,152414400,3
1974-11-14 00:53:00 +0000 UTC,153622380,3
1974-11-29 15:11:00 +0000 UTC,154969860,3
1974-12-13 16:26:00 +0000 UTC,156183960,3
1974-12-29 03:52:00 +0000 UTC,157521120,6
1975-01-12 10:21:00 +0000 UTC,158754060,9
1975-01-27 15:10:00 +0000 UTC,160067400,6
1975-02-11 05:18:00 +0000 UTC,161327880,9
1975-02-26 01:15:00 +0000 UTC,162609300,9
1975-03-12 23:48:00 +0000 UTC,163900080,9
1975-03-27 10:36:00 +0000 UTC,165148560,9
1975-04-11 16:39:00 +0000 UTC,166466340,9
1975-04-25 19:54:00 +0000 UTC,167687640,9
1975-05-11 07:05:00 +0000 UTC,169023900,3
1975-05-25 05:49:00 +0000 UTC,170228940,6
1975-06-09 18:49:00 +0000 UTC,171571740,6
1975-06-23 16:53:00 +0000 UTC,172774380,3
1975-07-09 04:09:00 +0000 UTC,174110940,9
1975-07-23 05:28:00 +0000 UTC,175325280,6
1975-08-07 11:57:00 +0000 UTC,176644620,9
1975-08-21 19:47:00 +0000 UTC,177882420,3
1975-09-05 19:18:00 +0000 UTC,179176680,9
1975-09-20 11:51:00 +0000 UTC,180445860,9
1975-10-05 03:23:00 +0000 UTC,181711380,3
1975-10-20 05:07:00 +0000 UTC,183013620,6
1975-11-03 13:05:00 +0000 UTC,184251900,3
